t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
170.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416048
171.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
172.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
173.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
174.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
176.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
177.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2333,1416056
178.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1416056
179.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1416056
180.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1416056
181.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1415856
182.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1415856
183.0,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1415864
184.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2334,1415864
185.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415864
186.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415864
187.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415864
188.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415864
189.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415876
190.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415632
191.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2335,1415632
192.1,measure,java,235948,1054272,1050819,1054488,5119612,30,2336,1415632
193.2,measure,java,235948,1054272,1050819,1054488,5119612,30,2336,1415384
194.2,measure,java,235948,1054272,1050819,1054488,5119612,30,2336,1415264
195.2,measure,java,235948,1054272,1050819,1054488,5119612,30,2336,1415272
196.2,measure,java,235948,1054296,1050843,1054488,5119612,30,2336,1415272
197.2,measure,java,235948,1054296,1050843,1054488,5119612,30,2336,1415272
198.2,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1415276
199.2,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1415276
200.2,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1415084
201.2,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1415120
202.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1414972
203.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2338,1414616
204.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414616
205.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414364
206.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414372
207.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414372
208.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414384
209.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2339,1414384
